city_id,class_2019,class_2020,class_2023
1,3,3,2
2,3,3,3
3,3,3,3
4,4,4,3
5,3,2,3
6,3,3,3
7,3,4,3
8,3,3,3
9,2,2,3
10,3,2,3
11,3,3,4
12,3,3,3
13,3,4,3
14,2,3,3
15,2,2,2
16,2,2,2
17,3,3,3
18,3,3,3
19,3,3,3
20,3,3,2
21,3,3,3
22,2,3,3
23,3,3,3
24,2,3,2
25,3,3,2
26,3,3,3
27,3,3,2
28,3,2,3
29,3,3,3
30,3,3,3
31,2,1,3
32,3,4,2
33,3,3,3
34,2,2,2
35,3,4,2
36,4,1,4
37,4,4,4
38,3,1,3
39,3,4,3
40,2,3,2
41,2,1,3
42,3,2,2
43,3,4,3
44,3,3,3
45,3,2,2
46,3,3,2
47,3,2,3
48,2,3,3
49,3,2,3
50,3,3,3
51,3,3,3
52,2,3,2
53,3,2,3
54,3,3,2
55,3,2,2
56,2,3,2
57,2,2,3
58,2,1,1
59,3,2,2
60,2,1,3
61,2,1,3
62,2,1,2
63,1,1,1
64,1,1,1
65,2,1,3
66,1,1,2
67,2,1,2
68,1,1,1
69,2,2,2
70,1,1,2
71,2,1,2
72,1,1,1
73,3,3,3
74,4,4,4
75,3,3,3
76,3,3,3
77,3,4,4
78,3,3,3
79,3,3,3
80,3,3,3
81,3,3,3
82,4,3,3
83,3,3,4
84,3,4,3
85,4,4,4
86,4,3,3
87,4,4,3
88,4,4,3
89,4,4,3
90,3,3,3
91,3,3,2
92,2,3,3
93,4,4,3
94,3,2,3
95,3,2,4
96,3,4,3
97,3,3,3
98,3,3,3
99,3,3,3
100,3,2,3
101,3,3,2
102,3,4,3
103,2,1,2
104,3,3,2
105,3,2,2
106,2,1,3
107,3,4,3
108,3,3,2
109,3,3,2
110,2,2,2
111,3,2,3
112,3,1,2
113,3,4,3
114,3,4,3
115,3,3,3
116,4,4,4
117,4,3,3
118,3,3,3
119,3,3,3
120,3,2,3
121,4,3,3
122,3,3,4
123,3,3,3
124,2,1,2
125,3,3,2
126,3,2,3
127,3,3,2
128,3,2,2
129,3,2,3
130,4,3,2
131,3,3,2
132,3,3,2
133,4,3,3
134,3,4,3
135,3,4,3
136,3,3,3
137,3,3,3
138,3,3,3
139,3,3,3
140,4,4,3
141,3,3,3
142,3,3,2
143,3,3,3
144,3,2,3
145,4,4,3
146,3,3,3
147,3,3,3
148,4,4,4
149,4,3,3
150,3,4,3
151,2,2,2
152,3,2,3
153,3,3,3
154,3,4,3
155,3,2,2
156,3,3,3
157,3,3,2
158,4,3,3
159,3,2,2
160,3,3,3
161,3,3,3
162,3,3,3
163,3,2,3
164,3,2,3
165,3,2,3
166,3,3,3
167,3,2,3
168,3,3,3
169,2,2,3
170,4,3,3
171,3,3,3
172,3,3,3
173,3,2,2
174,3,3,3
175,2,2,2
176,4,3,3
177,2,2,3
178,3,2,2
179,3,1,2
180,3,2,3
181,2,1,3
182,3,3,2
183,3,1,2
184,3,3,3
185,3,3,3
186,3,2,3
187,3,3,3
188,3,3,2
189,3,3,2
190,2,2,2
191,1,1,1
192,2,2,2
193,3,2,2
194,4,3,3
195,3,3,2
196,3,2,3
197,4,3,2
198,3,3,3
199,3,2,3
200,3,3,3
201,2,3,3
202,3,3,3
203,3,3,3
204,3,3,3
205,3,3,3
206,3,2,2
207,2,2,2
208,3,3,2
209,2,1,2
210,2,2,2
211,2,2,2
212,3,2,2
213,2,1,2
214,3,3,3
215,4,4,3
216,3,3,1
217,3,3,2
218,3,2,2
219,4,4,3
220,3,3,3
221,2,3,3
222,4,2,3
223,3,3,3
224,2,3,3
225,3,3,3
226,3,1,3
227,3,2,3
228,2,2,3
229,3,2,3
230,2,3,3
231,2,3,2
232,3,4,3
233,3,3,3
234,2,2,1
235,3,2,2
236,1,1,3
237,2,2,2
238,2,1,2
239,2,1,2
240,3,1,2
241,1,1,1
242,2,1,1
243,2,4,2
244,1,4,1
245,1,1,1
246,2,4,2
247,5,1,4
248,5,2,4
249,3,2,2
250,1,1,2
251,3,3,3
252,3,3,3
253,4,3,3
254,2,1,1
255,4,3,4
256,3,2,3
257,3,3,3
258,3,2,2
259,3,3,3
260,3,3,3
261,3,2,2
262,3,3,3
263,3,2,3
264,4,3,3
265,4,4,3
266,4,3,3
267,2,1,1
268,3,2,4
269,3,3,2
270,4,2,2
271,3,3,3
272,4,3,2
273,3,4,3
274,3,1,2
275,3,3,3
276,3,3,3
277,3,3,2
278,3,2,2
279,4,3,2
280,3,3,2
281,3,3,3
282,3,3,3
283,2,3,2
284,3,2,2
285,2,1,1
286,2,3,1
287,1,1,1
288,1,1,2
289,1,1,1
290,2,1,2
291,3,3,1
292,2,1,1
293,2,1,2
294,3,3,3
295,2,1,1
296,1,1,1
297,2,1,2
298,3,3,3
299,3,3,2
300,3,3,2
301,3,3,3
302,2,3,3
303,3,3,3
304,2,3,3
305,3,3,3
306,3,3,4
307,4,4,3
308,3,2,4
309,3,2,4
310,3,3,3
311,3,1,2
312,3,3,2
313,2,3,2
314,3,3,3
315,2,2,3
316,3,2,4
317,4,4,4
318,3,3,4
319,3,3,3
320,2,2,3
321,4,3,3
322,2,2,1
323,2,2,1
324,1,1,1
325,2,3,2
326,3,1,1
327,5,1,1
328,3,3,3
329,2,3,2
330,3,3,3
331,3,4,3
332,3,4,2
333,3,3,2
334,2,3,2
335,3,1,2
336,2,1,3
337,2,1,1
338,3,2,3
339,2,1,1
340,3,2,2
341,2,1,1
342,1,1,1
343,4,1,1
344,2,1,1
345,2,1,1
346,1,1,1
347,2,1,2
348,1,1,1
349,3,5,1
350,1,1,1
351,3,1,1
352,1,1,1
353,4,1,3
354,3,2,1
355,2,5,5
356,5,5,5
357,1,1,1
358,2,1,1
359,1,1,1
360,1,1,1
361,5,5,4
362,5,1,2
363,1,1,1
364,1,1,1
365,1,1,1
366,1,1,1
367,1,1,1
368,1,1,1
369,1,1,1
370,1,1,1
371,1,1,1